customer_id,gender,senior,partner,dependents,phone_service,internet_service,contract_type,payment_type,monthly_charges,total_charges,churn,tenure,is_female,has_churned,has_phone,has_internet,has_phone_and_internet,partner_dependents,Excel functions -> Exercise3,average_monthly_charges,Excel functions -> Exercise4,contract_type,phone_type,internet_type,service_type
9995-HOTOH,Male,0,Yes,Yes,0,1,2,Electronic check,$59.00 ,"$3,707.60 ",No,63,FALSE,FALSE,FALSE,TRUE,FALSE,3,20141117,$59.00 ,TRUE,2 Year,No Phone Service,DSL,Internet Only
9993-LHIEB,Male,0,Yes,Yes,1,1,2,Mailed check,$67.85 ,"$4,627.65 ",No,68,FALSE,FALSE,TRUE,TRUE,TRUE,3,20140607,$67.85 ,TRUE,2 Year,One Line,DSL,Phone+Internet
9992-UJOEL,Male,0,No,No,1,1,0,Mailed check,$50.30 ,$92.75 ,No,2,FALSE,FALSE,TRUE,TRUE,TRUE,0,20191216,$50.30 ,TRUE,Month-to-Month,One Line,DSL,Phone+Internet
9992-RRAMN,Male,0,Yes,No,2,2,0,Electronic check,$85.10 ,"$1,873.70 ",Yes,22,FALSE,TRUE,TRUE,TRUE,TRUE,1,20180412,$85.10 ,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,Phone+Internet
9987-LUTYD,Female,0,No,No,1,1,1,Mailed check,$55.15 ,$742.90 ,No,13,TRUE,FALSE,TRUE,TRUE,TRUE,0,20181228,$55.15 ,TRUE,1 Year,One Line,DSL,Phone+Internet
9986-BONCE,Female,0,No,No,1,0,0,Bank transfer (automatic),$20.95 ,$85.50 ,Yes,4,TRUE,TRUE,TRUE,FALSE,FALSE,0,20191009,$20.95 ,TRUE,Month-to-Month,One Line,No Internet Service,Phone Only
9985-MWVIX,Female,0,No,No,1,2,0,Mailed check,$70.15 ,$70.15 ,Yes,1,TRUE,TRUE,TRUE,TRUE,TRUE,0,20200111,$70.15 ,TRUE,Month-to-Month,One Line,Fiber Optic,Phone+Internet
9979-RGMZT,Female,0,No,No,1,2,1,Mailed check,$94.05 ,$633.45 ,No,7,TRUE,FALSE,TRUE,TRUE,TRUE,0,20190721,$94.05 ,TRUE,1 Year,One Line,Fiber Optic,Phone+Internet
9978-HYCIN,Male,1,Yes,Yes,1,2,1,Bank transfer (automatic),$84.95 ,"$4,018.05 ",No,47,FALSE,FALSE,TRUE,TRUE,TRUE,3,20160304,$84.95 ,TRUE,1 Year,One Line,Fiber Optic,Phone+Internet
9975-SKRNR,Male,0,No,No,1,0,0,Mailed check,$18.90 ,$18.90 ,No,1,FALSE,FALSE,TRUE,FALSE,FALSE,0,20200111,$18.90 ,TRUE,Month-to-Month,One Line,No Internet Service,Phone Only
